Name,Time,Stat,Sportsbook,Sportsbook Line,DFS Line,Discrepancy,Over Price,Under Price,% Over,% Under,Payout,Higher/Lower,EV
RJ Barrett,4:00pm,Points,Pinnacle,22.5,23.5,1.0,1.8,1.934,0.4934903341718465,0.5065096658281535,1x,Lower,-22.0%
Daniel Gafford,4:30pm,Points,Pinnacle,9.5,9.5,0,1.699,2.08,0.5504101614183647,0.4495898385816354,0.92x,Higher,-22.1%
Brandon Ingram,4:00pm,Pts + Rebs + Asts,Pinnacle,34.5,34.5,0.0,1.892,1.847,0.4939823482214496,0.5060176517785504,1x,Lower,-22.3%
Franz Wagner,4:00pm,Pts + Rebs + Asts,Pinnacle,41.5,41.5,0,1.847,1.892,0.5060176517785504,0.4939823482214496,1x,Higher,-22.3%
Franz Wagner,4:00pm,Points,Pinnacle,28.5,28.5,0,1.847,1.892,0.5060176517785504,0.4939823482214496,1x,Higher,-22.3%
Ochai Agbaji,4:00pm,Pts + Rebs + Asts,Pinnacle,15.5,15.5,0,1.847,1.892,0.5060176517785504,0.4939823482214496,1x,Higher,-22.3%
Trayce Jackson-Davis,7:00pm,Points,Pinnacle,8.5,8.5,0,1.847,1.892,0.5060176517785504,0.4939823482214496,1x,Higher,-22.3%
Josh Hart,6:00pm,Points,Pinnacle,13.5,13.5,0,1.847,1.892,0.5060176517785504,0.4939823482214496,1x,Higher,-22.3%
Ja Morant,5:00pm,Pts + Rebs + Asts,Pinnacle,31.5,31.5,0.0,1.892,1.847,0.4939823482214496,0.5060176517785504,1x,Lower,-22.3%
Bennedict Mathurin,4:00pm,Pts + Rebs + Asts,Pinnacle,27.5,27.5,0,1.847,1.884,0.5049584561779683,0.4950415438220316,1x,Higher,-22.7%
Ja Morant,5:00pm,Rebounds,Pinnacle,5.5,5.5,0.0,2.22,1.609,0.4202141551318882,0.5797858448681118,0.87x,Lower,-23.0%
Kyrie Irving,4:30pm,Pts + Rebs + Asts,Pinnacle,37.5,37.5,0.0,1.884,1.854,0.4959871589085073,0.5040128410914928,1x,Lower,-23.2%
Mikal Bridges,6:00pm,Pts + Rebs + Asts,Pinnacle,24.5,24.5,0,1.854,1.884,0.5040128410914928,0.4959871589085073,1x,Higher,-23.2%
Payton Pritchard,4:30pm,Points,Pinnacle,10.5,10.5,0.0,1.884,1.854,0.4959871589085073,0.5040128410914928,1x,Lower,-23.2%
Dyson Daniels,4:30pm,Pts + Rebs + Asts,Pinnacle,20.5,20.5,0.0,1.884,1.854,0.4959871589085073,0.5040128410914928,1x,Lower,-23.2%
Myles Turner,4:00pm,Rebounds,Pinnacle,7.5,7.5,0.0,1.884,1.854,0.4959871589085073,0.5040128410914928,1x,Lower,-23.2%
Pascal Siakam,4:00pm,Pts + Rebs + Asts,Pinnacle,31.5,31.5,0,1.854,1.884,0.5040128410914928,0.4959871589085073,1x,Higher,-23.2%
Jakob Poeltl,4:00pm,Pts + Rebs + Asts,Pinnacle,29.5,29.5,0.0,1.884,1.854,0.4959871589085073,0.5040128410914928,1x,Lower,-23.2%
