Name,Team,Opponent,Stat,Line,Date,Time,Sport
Will Howard,OSU,TEN,Pass Completions,19.0,2024-12-21,05:00pm,CFB
Dylan Sampson,TEN,OSU,Rush Attempts,22.5,2024-12-21,05:00pm,CFB
Will Howard,OSU,TEN,Pass TDs,1.5,2024-12-21,05:00pm,CFB
Will Howard,OSU,TEN 1st Half,Rush Yards,5.5,2024-12-21,05:00pm,CFB1H
Will Howard,OSU,TEN,Rush Yards,10.5,2024-12-21,05:00pm,CFB
Will Howard,OSU,TEN,Pass Yards,235.5,2024-12-21,05:00pm,CFB
Will Howard,OSU,TEN 1st Half,Pass Yards,117.5,2024-12-21,05:00pm,CFB1H
Nico Iamaleava,TEN,OSU,Pass Completions,15.0,2024-12-21,05:00pm,CFB
Nico Iamaleava,TEN,OSU,Pass Yards,185.5,2024-12-21,05:00pm,CFB
Nico Iamaleava,TEN,OSU 1st Half,Rush Yards,9.5,2024-12-21,05:00pm,CFB1H
Nico Iamaleava,TEN,OSU 1st Half,Pass Yards,93.5,2024-12-21,05:00pm,CFB1H
Nico Iamaleava,TEN,OSU,Pass Attempts,27.5,2024-12-21,05:00pm,CFB
Nico Iamaleava,TEN,OSU,Pass+Rush Yds,207.5,2024-12-21,05:00pm,CFB
Nico Iamaleava,TEN,OSU,Rush Yards,18.5,2024-12-21,05:00pm,CFB
Dylan Sampson,TEN,OSU,Rush+Rec Yds,111.5,2024-12-21,05:00pm,CFB
Dylan Sampson,TEN,OSU,Receiving Yards,8.5,2024-12-21,05:00pm,CFB
Dylan Sampson,TEN,OSU,Rush Yards,93.5,2024-12-21,05:00pm,CFB
Dylan Sampson,TEN,OSU 1st Half,Rush Yards,46.5,2024-12-21,05:00pm,CFB1H
Dylan Sampson,TEN,OSU 1st Half,Receiving Yards,4.5,2024-12-21,05:00pm,CFB1H
D'Andre Swift,CHI,DET,Rush Yards,53.5,2024-12-22,10:00am,NFL
D'Andre Swift,CHI,DET 1st Half,Rush Yards,28.5,2024-12-22,10:00am,NFL1H
TreVeyon Henderson,OSU,TEN,Rush Yards,51.5,2024-12-21,05:00pm,CFB
TreVeyon Henderson,OSU,TEN,Receiving Yards,11.5,2024-12-21,05:00pm,CFB
TreVeyon Henderson,OSU,TEN,Rush+Rec Yds,67.5,2024-12-21,05:00pm,CFB
TreVeyon Henderson,OSU,TEN 1st Half,Rush Yards,24.5,2024-12-21,05:00pm,CFB1H
TreVeyon Henderson,OSU,TEN 1st Half,Receiving Yards,5.5,2024-12-21,05:00pm,CFB1H
Jahmyr Gibbs,DET,CHI 1st Half,Rush Yards,42.5,2024-12-22,10:00am,NFL1H
Jahmyr Gibbs,DET,CHI,Receiving Yards,32.5,2024-12-22,10:00am,NFL
Jahmyr Gibbs,DET,CHI 1st Half,Receiving Yards,15.5,2024-12-22,10:00am,NFL1H
Jahmyr Gibbs,DET,CHI,Rush Yards,89.5,2024-12-22,10:00am,NFL
Jahmyr Gibbs,DET,CHI,Rush+Rec Yds,127.5,2024-12-22,10:00am,NFL
Quinshon Judkins,OSU,TEN,Rush+Rec Yds,66.5,2024-12-21,05:00pm,CFB
Quinshon Judkins,OSU,TEN,Rush Yards,54.5,2024-12-21,05:00pm,CFB
Carnell Tate,OSU,TEN,Longest Reception,21.5,2024-12-21,05:00pm,CFB
Quinshon Judkins,OSU,TEN 1st Half,Rush Yards,27.5,2024-12-21,05:00pm,CFB1H
Squirrel White,TEN,OSU 1st Half,Receiving Yards,12.5,2024-12-21,05:00pm,CFB1H
Dont'e Thornton,TEN,OSU,Receptions,2.5,2024-12-21,05:00pm,CFB
Emeka Egbuka,OSU,TEN,Longest Reception,21.5,2024-12-21,05:00pm,CFB
Emeka Egbuka,OSU,TEN,Receptions,4.5,2024-12-21,05:00pm,CFB
